time,OBV
2024-04-05 03:00:00+00:00,-3572
2024-04-05 04:00:00+00:00,-7035
2024-04-05 05:00:00+00:00,-10650
2024-04-05 06:00:00+00:00,-5252
2024-04-05 07:00:00+00:00,1875
2024-04-05 08:00:00+00:00,7466
2024-04-05 09:00:00+00:00,11753
2024-04-05 10:00:00+00:00,7702
2024-04-05 11:00:00+00:00,11691
2024-04-05 12:00:00+00:00,23654
2024-04-05 13:00:00+00:00,14171
2024-04-05 14:00:00+00:00,4104
2024-04-05 15:00:00+00:00,11398
2024-04-05 16:00:00+00:00,7053
2024-04-05 17:00:00+00:00,10406
2024-04-05 18:00:00+00:00,7010
2024-04-05 19:00:00+00:00,9891
2024-04-05 20:00:00+00:00,8358
2024-04-07 21:00:00+00:00,8157
2024-04-07 22:00:00+00:00,10803
2024-04-07 23:00:00+00:00,8197
2024-04-08 00:00:00+00:00,12593
2024-04-08 01:00:00+00:00,18199
2024-04-08 02:00:00+00:00,13877
2024-04-08 03:00:00+00:00,10613
2024-04-08 04:00:00+00:00,13026
2024-04-08 05:00:00+00:00,10115
2024-04-08 06:00:00+00:00,6176
2024-04-08 07:00:00+00:00,10036
2024-04-08 08:00:00+00:00,14021
2024-04-08 09:00:00+00:00,10483
2024-04-08 10:00:00+00:00,7941
2024-04-08 11:00:00+00:00,10941
2024-04-08 12:00:00+00:00,6173
2024-04-08 13:00:00+00:00,-51
2024-04-08 14:00:00+00:00,6241
2024-04-08 15:00:00+00:00,2578
2024-04-08 16:00:00+00:00,5393
2024-04-08 17:00:00+00:00,2259
2024-04-08 18:00:00+00:00,-479
2024-04-08 19:00:00+00:00,1936
2024-04-08 20:00:00+00:00,2824
2024-04-08 21:00:00+00:00,1563
2024-04-08 22:00:00+00:00,560
2024-04-08 23:00:00+00:00,2759
2024-04-09 00:00:00+00:00,7254
2024-04-09 01:00:00+00:00,2523
2024-04-09 02:00:00+00:00,-928
2024-04-09 03:00:00+00:00,-3833
2024-04-09 04:00:00+00:00,-1568
2024-04-09 05:00:00+00:00,720
2024-04-09 06:00:00+00:00,3883
